Topic,Description,url
python3,"Python is a dynamically-typed garbage-collected programming language developed by Guido van Rossum in the late 80s to replace ABC. Much like the programming language Ruby, Python was designed to be easily read by programmers. Because of its large following and many libraries, Python can be implemented and used to do anything from webpages to scientific research.",https://github.compython3
config,,https://github.comconfig
JavaScript,"JavaScript (JS) is a lightweight interpreted or JIT-compiled programming language with first-class functions. While it is most well-known as the scripting language for Web pages, many non-browser environments also use it, such as Node.js, Apache CouchDB and Adobe Acrobat. JavaScript is a prototype-based, multi-paradigm, dynamic language, supporting object-oriented, imperative, and declarative (e.g. functional programming) styles.",https://github.comJavaScript
React,React (also known as React.js or ReactJS) is a JavaScript library that makes developing interactive user interfaces simple.,https://github.comReact
C++,C++ is a popular and widely used mid-level language. It was designed as an extension of the C language.,https://github.comC++
COVID-19,The coronavirus disease 2019 (COVID-19) is an infectious disease caused by a type of coronavirus known as SARS-CoV-2 that had caused an ongoing pandemic. This topic is associated with repositories that contain code focused around research and awareness of the virus.,https://github.comCOVID-19
Continuous integration,"Automatically build and test your code as you push it upstream, preventing bugs from being deployed to production. A complementary practice to CI is that before submitting work, each programmer must do a complete build and run (and pass) all unit tests. Integration tests are usually run automatically on a CI server when it detects a new commit.",https://github.comContinuous integration
Code quality,"Automate your code review with style, quality, security, and test‑coverage checks when you need them most. Code quality is intended to keep complexity down and runtime up.",https://github.comCode quality
Code review,"Code review is systematic examination (sometimes referred to as peer review) of computer source code. It is intended to find mistakes overlooked in software development, improving the overall quality of software. Reviews are done in various forms such as pair programming, informal walkthroughs, and formal inspections.",https://github.comCode review
Compiler,"Compilers are software that translate higher-level (more human readable) programming languages to lower-level languages (e.g. machine code). The processor executes machine code, which indicates when binary high and low signals are required in the arithmetic logic unit of the processor. Examples of compiled languages include BASIC, Fortran, C++, C, and Java.",https://github.comCompiler
Clojure,"Clojure is a functional, dynamic, general-purpose programming language. It provides built-in concurrency support via software transactional memory and asynchronous agents, and offers a rich set of immutable, persistent data structures. Clojure runs on JVM, JavaScript VMs, and Common Language Runtime.",https://github.comClojure
Chrome extension,"Chrome extensions are add-ons for Chromium-based browsers, such as Google Chrome, which enable users to customize the Chrome browsing experience. Built using web technologies like HTML, CSS, and JavaScript, extensions make use of various APIs supported by the browser. Extensions are typically downloaded from online marketplaces, with the Chrome Web Store being the most widely used. Chrome extensions work on most Chromium browsers, not just Google Chrome developed by Google.",https://github.comChrome extension
Command line interface,"Before there were graphical user interfaces, command-line interfaces were used to issue commands to a computer. Programs that handle the user interface are called command language interpreters, often known as a shell. A CLI may give a user more control over the computer and programs they wish to execute.",https://github.comCommand line interface
Chrome,"Chrome is the most popular web browser worldwide as of mid-2017, made by the tech company Google. It's available for most operating systems including Windows, macOS, and Linux and on multiple platforms such as the desktop, phones, and tablets.,Chrome boasts a minimalistic UI and was the first browser to feature ""tabs"" above the address bar, a convention that was later implemented in other browsers. Other popular features include things such as Incognito mode, tab sandboxing, and a Web Store with extensions and themes.,Although Chrome is not open source, the majority of the source code is available under the Chromium moniker.",https://github.comChrome
C,"C is a programming language designed by Dennis Ritchie at Bell Labs. C is very widely used, straightforward, and can be compiled to a number of platforms and operating systems. C is an imperative language, with a small number of keywords and a large number of mathematical operators. C is also a very low level programming language, which means it can communicate directly with hardware.",https://github.comC
Bot,"A bot is an application that runs automated, usually repetitive tasks over the Internet.",https://github.comBot
Bitcoin,"Bitcoin is a cryptocurrency developed by Satoshi Nakamoto in 2009. Bitcoin is used as a digital payment system. Rather than use traditional currency (USD, YEN, EURO, etc.) individuals may trade in, or even mine Bitcoin. It is a peer-to-peer system, and transactions may take place between users directly.",https://github.comBitcoin
Bootstrap, is a popular front-end framework that streamlines website design. It allows for the creation of easy and responsive web layouts.,https://github.comBootstrap
Azure,"Azure is a cloud computing service created by Microsoft for building, testing, deploying, and managing applications and services through a global network of Microsoft-managed data centers.",https://github.comAzure
Bash,Bash (Bourne Again Shell) is a shell and command language interpreter for the GNU / Linux operating systems. It is meant to be an improved version of Bourne Shell. It is used as a default login shell for most Linux distributions. Bash can read and execute shell script (.sh) files to automate the execution of tasks.,https://github.comBash
Babel,"🐠 Babel is a compiler created by , in 2014 to convert ES6 to ES5 (originally called 6to5). It has since become a toolchain that enables developers to write any next generation JavaScript and serves as a testing ground for proposals from ,, the technical committee that specifies ,. Babel can also convert , and strip out type annotations from both , and ,. Babel is built out of plugins. Compose your own transformation pipeline using , or ,.",https://github.comBabel
